code,secteur_chefferie
Code,Secteur/Chefferie
8202404,Secteur de Nguya
8203,Territoire de Kungu
8203401,Secteur de Bomboma
8203402,Secteur de Dongo
8203403,Secteur de Lwa
8203404,Secteur de Mwanda
8203405,Secteur de Songo
8204,Territoire de Libenge
8204401,Secteur de Libenge-Centre
8204402,Secteur de Libenge-Nord
8204403,Secteur de Libenge-Sud
9,Mongala
9201,Territoire de Bongandanga
9201401,Secteur de Bongandanga
9201402,Secteur de Boso-Djano
9201403,Secteur de Boso-Melo
9201404,Secteur de Boso-Simba
9202,Territoire de Bumba
9202401,Secteur de Banda Yowa (Banda Yoka)
9202402,Secteur d' Itimbiri
9202403,Secteur de Loeka
9202404,Secteur de Modjamboli
9202405,Secteur de Molwa
9202406,Secteur de Yandongi
9203,Territoire de Lisala
9203401,Secteur de Mongala Motima
9203402,Secteur de Ngombe Doko
9203403,Secteur de Ngombe Mobangi
10,Tshuapa
10201,Territoire de Befale
10201401,Secteur de Befumbo
10201402,Secteur de Duale
10201403,Secteur de Lomako
10202,Territoire de Boende
10202401,Secteur de Bolua
10202402,Secteur de Djera
10202403,Secteur de Lofoy
10202404,Secteur de Wini
10203,Territoire de Bokungu
10203301,Chefferie de Nkole
10203401,Secteur de Lolaka
10203402,Secteur de Loombo
10203403,Secteur de Luando
10203404,Secteur de Luay
10204,Territoire de Djolu
10204401,Secteur de Djolu
10204402,Secteur de Lingomo
10204403,Secteur de Luo
10204404,Secteur de Yala
10205,Territoire d' Ikela
10205401,Secteur de Lofome
10205402,Secteur de Loile
10205403,Secteur de Lokina (Lokima)
10205404,Secteur de Tshuapa
10205405,Secteur de Tumbenga
10206,Territoire de Monkoto
10206401,Secteur de Bianga
10206402,Secteur de Monkoto
10206403,Secteur de Nongo
11,Tshopo
11201,Territoire de Bafwasende
11201401,Secteur de Bafwandaka
11201402,Secteur de Bakumu d'Angumu
11201403,Secteur de Bakundumu
11201404,Secteur de Barumbi-Opienge
11201405,Secteur de Bekeni-Kondolole
11201406,Secteur de Bemili
11202,Territoire de Banalia
11202301,Chefferie de Baboro
11202401,Secteur de Baboa de Kole
11202402,Secteur de Bamanga
11202403,Secteur de Banalia-Bangba
11202404,Secteur de Popoy
11203,Territoire de Basoko
11203301,Chefferie de Wahanga
11203302,Chefferie de Yaliwasa
11203303,Chefferie de Yamandundu
11203401,Secteur de Bangelema
11203402,Secteur de Bomenge
11203403,Secteur de Lukutu (Lokutu)
11203404,Secteur de Mobango Itimbiri
11203405,Secteur de Turumbu
11204,Territoire d'Isangi
11204301,Chefferie de Baluolambila
11204302,Chefferie de Bolomboki
11204303,Chefferie de Kombe
11204304,Chefferie de Liutua
11204305,Chefferie de Yalihila (Yalikila)
11204306,Chefferie de Yalikoka-Mboso
11204401,Secteur de Bambelota
11204402,Secteur de Lokombe (Lukombe)
11204403,Secteur de Luete (Lueta)
11204404,Secteur de Turumbu
11204405,Secteur de Yalikandja-Yanonge
11204406,Secteur de Yaokandja
11204407,Secteur de Yawembe-Basoa
11205,Territoire d'Opala
11205301,Chefferie de Kembe
11205302,Chefferie de Mongo
11205303,Chefferie de Yalingo
11205304,Chefferie de Yamaie (Yomaie)
11205305,Chefferie de Yapandu
11205306,Chefferie de Yeyango
11205401,Secteur de Balinga-Lindja
11205402,Secteur d'Iye
11205403,Secteur de Lobaie
11205404,Secteur de Tooli
11205405,Secteur de Yawende-Loolo
11206,Territoire d'Ubundu
11206301,Chefferie de Kirundu
11206401,Secteur de Bakumu d'Obiatuku
11206402,Secteur de Bakumu-Kilinga
11206403,Secteur de Bakumu-Mandombe
11206404,Secteur de Bakumu-Mangongo
11206405,Secteur de Mituku-Bamoya
11206406,Secteur de Mituku-Basikate
11206407,Secteur de Walengola-Babira
11206408,Secteur de Walengola-Baleka
11206409,Secteur de Walengola-Lilo
11206410,Secteur de Walengola-Lowa
11207,Territoire de Yahuma
11207301,Chefferie de Mombesa
11207401,Secteur de Bolinga
11207402,Secteur de Bosoku (Bosoko)
11207403,Secteur de Buma
12,Bas-Uele
12201,Territoire d'Aketi
12201301,Chefferie d'Avuru-Duma
12201302,Chefferie d'Avuru-Gatanga
12201303,Chefferie de Bondongola
12201304,Chefferie de Mobati-Boyele
12201401,Secteur de Kolongwandi (Mongwandi)
12201402,Secteur de Mabinza
12201403,Secteur de Ngbongi (Bgongi)
12201404,Secteur de Yoko
12202,Territoire d'Ango
12202301,Chefferie d'Ezo
12202302,Chefferie de Mopoyi (Mopay)
12202303,Chefferie de Ngindo
12202304,Chefferie de Sasa
12203,Territoire de Bambesa
12203301,Chefferie de Bakete
12203302,Chefferie de Bokapo
12203303,Chefferie de Bokiba
12203304,Chefferie de Bolungwa
12203305,Chefferie de Makere 1
12203306,Chefferie de Makere 2
12203307,Chefferie de Bakere-Bakete
12203308,Chefferie de Mange
12203309,Chefferie de Mondongwale
12204,Territoire de Bondo
12204301,Chefferie de Boso
12204302,Chefferie de Deni
12204303,Chefferie de Duaru
12204304,Chefferie de Gama
12204305,Chefferie de Gaya
12204306,Chef.de Gbiamange/Biamange (Gbamange)
12204307,Chefferie de Goa (Goya)
12204308,Chefferie de Kasa
12204309,Chefferie de Mobenge-Mondila
12204310,Chefferie de Soa
12205,Territoire de Buta
12205301,Chef. de Barisi-Mongingita-Bakango
12205302,Chefferie de Bayeu Bogongea
12205303,Chefferie de Bayeu Bogbama
12205304,Chefferie de Mobati
12205305,Chefferie de Mongazulu
12205306,Chefferie de Nguru
12206,Territoire de Poko
12206301,Chefferie de Babena
12206302,Chefferie de Bakengai-Avuru
12206303,Chefferie de Gamu
12206304,Chefferie de Kipate
12206305,Chefferie de Kumendeni
12206306,Chefferie de Mabanga
12206307,Chefferie de Madi
12206308,Chefferie de Malele
12206309,Chefferie de Ngbaradi (Ngbarandi)
12206310,Chefferie de Soronga
12206311,Chefferie de Zune
12206401,Secteur d'Abarambo
12206402,Secteur de Kembisa
13,Haut-Uele
13201,Territoire de Dungu
13201301,Chefferie de Malingindu
13201302,Chefferie de Ndolomo (Duruma)
13201303,Chefferie de Wando
13202,Territoire de Faradje
13202301,Chefferie de Dongo
13202302,Chefferie de Kakwa-Lamada
13202303,Chefferie de Logo-Bagela
13202304,Chefferie de Logo-Doka
13202305,Chefferie de Logo-Lolia
13202306,Chefferie de Logo-Obeleba
13202307,Chefferie de Logo-Ogambi
13202308,Chefferie de Mondo
13203,Territoire de Niangara
13203301,Chefferie de Boemi
13203302,Chefferie de Kereboro (Kerebobe)
13203303,Chefferie de Kopa
13203304,Chefferie de Mangbere (Mangbele)
