code,secteur_chefferie
Code,Secteur/Chefferie
26202402,Secteur de Dibataie
26202403,Secteur de Kamwandu
26202404,Secteur de Kasangidi
26202405,Secteur de Tshishilu
26203,Territoire de Dimbelenge
26203401,Secteur de Kunduyi
26203402,Secteur de Lubi
26203403,Secteur de Lubudi
26203404,Secteur de Lukibu
26203405,Secteur de Mashala
26204,Territoire de Kazumba
26204401,Secteur de Bashi-Mboie
26204402,Secteur de Bena-Ngoshi (Mutefu)
26204403,Secteur de Bulungu
26204404,Secteur de Kafuba
26204405,Secteur de Kavula
26204406,Secteur de Matamba
26204407,Secteur de Miao
26204408,Secteur de Muswaswa
26204409,Secteur de Tshitadi
26205,Territoire de Luiza
26205401,Secteur de Bambaie
26205402,Secteur de Kabelekese
26205403,Secteur de Kalunga
26205404,Secteur de Loatshi
26205405,Secteur de Lueta
26205406,Secteur de Lusanza
26205407,Secteur de Mbushimaie (Bushimaie)
